id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
93	gox	1.1085	0.4941	1	88	166	15	2015.3333
94	growth	0.0378	0.6756	3	88	121	19	2018.1053
95	heterojunction	0.9975	-0.6786	1	102	242	23	2022.3478
96	high selectivity	0.0991	-0.6687	4	116	179	14	2020.9286
97	high specificity	-0.1509	-0.4477	5	92	120	13	2018.7692
98	high surface	-0.5958	0.5599	2	82	130	12	2018.3333
99	higher sensitivity	-0.1404	0.5471	3	92	131	15	2017.1333
100	hole	0.9987	-0.1315	1	67	115	14	2018.6429
101	human health	-0.2021	-0.3709	5	86	117	10	2022.2
102	human serum	0.3216	-0.6925	1	98	168	19	2019.8421
103	human serum sample	0.7777	-0.8211	1	100	185	14	2019.7143
104	hybridization	-0.7966	-0.4505	4	99	234	26	2013.7692
105	immobilization	0.4503	0.1592	3	192	642	70	2017.5
106	immunosensor	0.1758	-0.4564	5	95	140	16	2018.1875
107	improvement	-0.2027	0.5482	3	106	173	21	2017.5714
108	incorporation	0.3016	0.2766	2	110	160	16	2020.5625
109	insight	0.0717	0.5701	2	113	204	23	2020.9565
110	insulator	-0.7378	-0.5277	4	77	138	18	2016.5556
111	interest	-0.4401	0.6296	2	151	354	43	2017.0233
112	issue	-0.385	0.233	2	121	206	28	2018.5
113	kind	0.3147	-0.0919	1	78	101	14	2016.6429
114	lab	-1.0302	0.3346	2	86	163	18	2016.0556
115	label free detection	-0.7503	0.1341	2	123	248	27	2018.3333
116	lack	0.493	0.237	1	67	80	12	2019.6667
117	large surface area	0.9807	0.1507	1	69	97	10	2018.4
118	laser	-0.4886	0.1292	2	80	124	22	2017.9545
119	linear range	0.9367	-0.1585	1	134	314	34	2020.1471
120	linear response	0.7264	-0.0699	1	99	163	17	2016.5294
121	lod	0.0989	-0.7698	5	157	391	39	2021.5641
122	long term stability	1.0578	0.2823	1	81	133	13	2019.5385
123	low concentration	-0.7332	-0.2649	5	80	125	14	2018.8571
124	low detection limit	1.1492	-0.1844	1	129	362	36	2020.3333
125	low limit	0.1142	-0.9592	5	79	113	10	2022.2
126	magnitude	0.0065	0.0302	5	112	192	21	2019.1429
127	mean	0.1454	0.5025	3	71	106	16	2014.5
128	metal	-0.1161	0.1407	2	123	200	28	2016.3929
129	microrna	-0.435	-1.1614	4	66	129	14	2020.5
130	min	-0.4153	-0.3077	5	109	214	26	2019.4231
131	miniaturization	-0.8913	0.316	2	81	131	17	2018.4118
132	mirna	-0.1886	-1.0381	4	81	178	19	2021.2632
133	monolayer	0.0928	0.3857	3	77	111	13	2016.6923
134	morphology	0.4568	0.6019	2	107	167	21	2019.9048
135	mv ph	-0.341	0.7863	3	53	101	11	2013.8182
136	nanocomposite	0.9629	0.058	1	96	174	19	2020
137	nanomaterial	-0.0912	0.3655	2	133	313	35	2016.9714
138	nanoparticle	0.3893	0.0271	1	197	539	61	2017.1475
139	nanostructure	0.0508	0.1554	5	138	291	28	2020.3929
140	need	-0.7488	-0.1891	2	161	400	43	2019
141	ng ml	0.537	-0.7171	1	153	397	37	2019.5405
142	noise ratio	-0.6268	-0.4958	4	65	84	11	2015.8182
143	nucleic acid	-0.6638	-0.261	4	130	264	26	2016.4231
144	opportunity	-0.195	0.4479	2	111	197	20	2020.15
145	optical biosensor	-0.5788	-0.1636	2	96	148	22	2018.0909
146	optimal condition	1.0563	-0.5334	1	76	145	11	2017.6364
147	optimization	-0.3472	0.5063	3	53	71	13	2020.0769
148	organic electrochemical transistor	-0.2064	0.7433	2	64	92	12	2020.9167
149	organic semiconductor	-0.0883	0.6874	2	95	149	19	2018.7368
150	overview	-0.8565	0.5355	2	87	157	16	2019.9375
151	parameter	-0.1263	0.4914	3	124	216	33	2017.3636
152	patient	-0.4373	-0.5331	4	129	277	31	2020.6774
153	pbs	-0.2589	-0.0028	3	94	142	14	2022.7143
154	pec	1.0494	-0.5843	1	140	647	65	2021.5538
155	pec biosensor	1.1344	-0.673	1	115	407	40	2021.725
156	peptide	-0.0796	0.0863	3	87	127	18	2017.9444
157	pg ml	0.4908	-0.7459	1	113	240	24	2020.0833
158	photoactive material	1.1704	-0.569	1	69	131	14	2021.6429
159	photocurrent	1.1892	-0.6682	1	99	265	27	2020.7407
160	photoelectrochemical biosensor	1.0733	-0.6364	1	105	317	29	2021.1034
161	plasma	-0.3173	-0.5927	4	101	168	17	2018.9412
162	poc	-1.1836	-0.0718	5	74	144	13	2021.5385
163	poct	-1.2464	-0.2082	5	64	97	10	2020.8
164	point	-0.9107	-0.1393	5	194	797	84	2019.6071
165	potential application	0.44	-0.0185	2	80	114	16	2019.4375
166	power	-0.2972	-0.0395	2	90	145	25	2018.48
167	practical application	0.2427	-0.0145	2	93	135	14	2020.6429
168	probe	-0.2192	-0.6862	4	180	562	64	2017.0938
169	production	-0.3952	0.3052	2	148	327	33	2018.9394
170	progress	-0.5624	0.4018	2	138	295	30	2018.7667
171	promising candidate	-0.6666	-0.0388	4	74	90	10	2020.8
172	prospect	0.1949	-0.0579	2	141	289	29	2019.8621
173	qds	0.6472	-0.4636	1	112	221	21	2018
174	quantum dot	0.5195	-0.2406	1	148	329	38	2015.6053
175	rapid	-0.6273	-0.1308	5	56	78	10	2021.6
176	rapid detection	-0.2647	-0.4247	5	102	159	19	2019.4211
177	real sample	0.5393	0.3738	3	70	96	11	2020.7273
178	recent advance	-0.5229	0.6002	2	96	154	14	2020.3571
179	recent progress	-0.6365	0.7377	2	77	142	13	2020.8462
180	recent year	-0.6242	0.5971	2	107	186	22	2019.6364
181	repeatability	0.8978	-0.1785	1	97	166	15	2020.2667
182	reproducibility	0.9199	-0.0703	1	169	500	47	2017.9574
183	requirement	-0.6677	-0.1638	5	119	205	27	2017.8519
184	researcher	-0.5592	0.6297	2	80	116	13	2021.6154
185	resistance	0.1233	0.6606	3	87	135	20	2020.4
186	review	-0.6352	0.4722	2	155	597	66	2019.0758
187	s n	1.1807	-0.3043	1	93	174	14	2020.2857
188	saliva	-0.5986	0.2624	2	89	140	15	2021.4667
189	sars cov	-0.555	-0.8101	5	102	238	25	2022.8
190	selective detection	0.3894	-0.1321	3	79	102	12	2018.8333
191	selectivity	0.5981	0.1955	1	189	562	57	2018.9474
192	self	0.4088	-0.0552	1	164	373	40	2018.85
193	semiconductor nanoparticle	0.6164	0.2966	1	61	94	12	2014.0833
194	semiconductor quantum dot	0.4008	-0.6017	1	78	147	20	2014.45
195	sensing surface	-0.5626	-0.6444	5	51	68	11	2018.9091
196	sensitive biosensor	-0.1108	0.5775	3	68	96	13	2016.4615
197	sensitive detection	0.3188	-0.498	1	162	396	42	2021.119
198	sensor surface	-0.3085	-0.1024	3	106	157	23	2016.7826
199	sequence	-0.4266	-0.8235	4	132	306	32	2016.7812
200	serum	-0.4152	-0.3831	5	130	270	31	2017
201	signal amplification	0.6447	-0.5738	1	97	185	16	2019.6875
202	silicon	-0.8482	-0.244	4	137	386	48	2016.5
203	silicon nanowire	-1.1636	-0.4864	4	89	206	19	2017.4737
204	single walled carbon nanotube	0.0823	0.7735	3	63	102	14	2017.1429
205	sinw	-1.1058	-0.6649	4	74	157	15	2017.6
206	sinw fet	-1.195	-0.5995	4	70	139	13	2016.8462
207	size	-0.7218	0.1819	2	119	235	35	2017.1143
208	specific detection	-0.6267	-0.3833	4	84	132	14	2016.5714
209	spike protein	-0.6035	-0.8988	5	65	120	12	2022.5
210	spr	0.0396	-0.5932	4	121	223	25	2016.28
211	stability	0.6699	0.0784	1	212	934	92	2018.6957
212	surface modification	-0.2624	-0.3594	4	98	140	17	2017.4706
213	surface plasmon resonance	-0.0503	-0.6218	4	137	284	35	2016.7143
214	sweat	-0.2138	0.8183	2	77	119	13	2022.1538
215	synthesis	0.5309	0.2958	1	143	298	32	2017.4688
216	target dna	-0.4533	-0.6396	4	89	188	18	2014.4444
217	temperature	0.0721	0.3524	3	122	216	28	2015.8571
218	thin film	0.3513	0.7726	3	110	172	22	2015.9545
219	tio	1.0713	-0.2811	1	93	183	21	2021.381
220	top	-0.8296	-0.4759	4	108	219	23	2018.3478
221	ultrasensitive detection	-0.1076	-0.7513	5	134	232	24	2020.9167
222	urea	0.5008	0.6425	3	56	92	11	2012.8182
223	utilization	0.4948	-0.3822	1	87	119	11	2018.3636
224	variety	-0.4982	0.2437	2	127	210	28	2015.1786
225	virus	-0.7998	-0.4786	5	155	448	49	2018.7143
226	visible light	1.0458	-0.1898	1	78	127	13	2022
227	voltage	-0.2256	0.6289	3	177	483	60	2018.5
228	volume ratio	-0.4615	0.4056	2	96	159	15	2018.4
229	water	0.3101	0.6238	3	98	142	22	2016.7273
230	wide linear range	1.3912	-0.0358	1	81	170	16	2017
231	year	-0.8127	0.0245	2	68	99	12	2016.5
232	zno	0.5263	0.4048	3	108	190	23	2019.1739
233	zno nanorod	1.0875	0.1747	1	63	93	10	2018.3
