id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
47	clinical application	-0.6125	-0.4823	2	71	155	14	2020.7143
48	clinical diagnosis	0.2906	-0.665	5	81	213	20	2020.4
49	clinical sample	0.1067	-0.6849	2	79	186	22	2021
50	cnt	1.2314	-0.0943	1	43	172	15	2014.7333
51	cnts	1.2994	-0.1312	1	30	127	16	2016.125
52	coating	-0.1017	0.8699	4	107	735	80	2013.3625
53	complexity	-0.7507	0.4119	3	59	109	15	2022.6
54	compound	-0.1327	-0.0746	5	130	499	55	2016.9273
55	concentration	0.1461	-0.1591	5	209	2315	272	2018.3162
56	concentration range	0.388	-0.1324	1	74	154	18	2018.2778
57	continuous monitoring	-0.7724	-0.2227	2	48	162	14	2019.9286
58	covid	-0.2307	-0.8617	2	71	425	37	2022.2432
59	crp	0.2728	0.241	4	31	194	25	2019.44
60	cvd	-0.5868	-0.3023	2	23	69	10	2022.8
61	cyclic voltammetry	0.7711	-0.0013	1	106	359	34	2017.5588
62	detection limit	0.6311	-0.3909	1	174	1138	122	2018.3033
63	determination	0.6111	-0.2467	1	148	705	70	2018.3
64	dextran	-1.0782	0.1257	3	26	81	10	2022.2
65	diabete	-0.46	-0.4287	2	70	270	20	2020.75
66	diagnosis	-0.2965	-0.7297	2	157	1024	104	2021.2212
67	difference	-0.1631	-0.0563	5	100	314	34	2020
68	differential pulse voltammetry	0.6585	-0.5129	1	60	119	13	2019.3846
69	disadvantage	-0.7733	-0.8571	6	41	96	11	2020.9091
70	disease	-0.4447	-0.6663	2	174	1470	133	2020.7895
71	drug	-0.6981	0.3041	3	114	451	47	2017.3191
72	drug delivery	-0.9876	0.3784	3	95	548	47	2020.9362
73	dynamic range	-0.4386	-0.1443	5	90	303	34	2016.5294
74	early detection	-0.324	-0.8616	2	89	306	25	2021.4
75	early diagnosis	0.0818	-0.931	2	97	302	28	2021.9643
76	efficacy	-0.8733	-0.1202	3	87	286	27	2022.7407
77	electrochemical detection	0.4712	-0.4467	1	97	236	26	2015.8846
78	electrode surface	0.8901	0.0093	1	70	223	23	2015.1304
79	electron transfer	0.9793	-0.0848	1	84	240	25	2015.56
80	electrostatic interaction	0.4829	0.2342	4	40	84	12	2015.75
81	enzyme activity	0.3047	-0.1476	1	71	220	22	2015.5909
82	enzyme electrode	0.9851	0.2604	1	37	139	17	2008.0588
83	escherichia coli	-0.0696	-0.2421	2	56	166	22	2019.8636
84	ethylene glycol	0.012	0.9998	4	56	132	18	2015.2778
85	exosome	0.5963	-1.0128	2	17	146	12	2022
86	extent	-0.3732	0.493	4	45	109	12	2016.8333
87	extracellular matrix	-0.6843	0.6663	3	63	160	15	2014.8667
88	fg ml	0.2116	-0.7725	2	54	182	18	2021.5
89	fiber	-0.5242	0.2331	5	87	295	43	2018.186
90	film	0.5103	0.5596	4	138	1168	132	2013.7803
91	flim	-1.1115	0.2953	3	20	120	13	2020.7692
92	fluorescence	-0.2303	-0.2963	5	108	351	35	2020.0571
93	fluorescence intensity	-0.7692	-0.4669	5	64	257	22	2019.1818
94	fluorescence microscopy	-0.6538	0.2426	3	51	99	12	2019.4167
95	fluorescence resonance energy transfer	-0.5773	0.5431	3	18	49	14	2013.9286
96	food	-0.1664	-0.1298	2	104	329	31	2021.6129
97	food safety	-0.3369	-0.2647	2	56	113	15	2020.7333
98	fourier	0.9316	0.2936	1	59	149	13	2016.3077
99	future	-0.3661	-0.3342	2	77	176	18	2021.6111
100	future perspective	-0.9402	-0.0422	3	47	117	11	2021.3636
101	gene	-0.2488	-0.7314	2	85	288	26	2021.0769
102	glucose	0.7007	0.3716	1	137	1068	103	2016.0583
103	glucose biosensor	0.7607	0.7139	4	68	287	32	2014.7188
104	glucose concentration	0.6863	0.3487	1	59	231	21	2017.381
105	glucose detection	1.1666	-0.036	1	44	175	15	2017.3333
106	glucose level	0.5554	0.3345	1	45	146	16	2020.25
107	glucose oxidase	1.0136	0.3836	1	111	570	54	2013.9444
108	glucose sensor	0.7635	0.6468	1	32	169	16	2012.25
109	glycopolymer	-0.2821	0.5883	4	17	142	17	2022.5294
110	gold electrode	0.3294	0.3863	4	75	181	17	2014.3529
111	gold nanoparticle	0.4224	-0.2076	1	140	567	57	2017.8596
112	gqd	0.1526	-0.5361	1	36	180	12	2021.0833
113	h2o2	0.8318	-0.3708	1	51	121	10	2012.8
114	health	-0.2885	-0.4496	2	92	285	25	2021.8
115	healthcare	-0.5269	-0.1436	3	55	127	13	2021.7692
116	high selectivity	0.2537	-0.2408	5	80	203	18	2019.5556
117	high specificity	-0.1878	-0.345	2	70	139	14	2021.2143
118	horseradish peroxidase	0.8484	0.0963	1	83	228	24	2013.7083
119	human	-0.2417	-0.1881	2	69	180	17	2020.2941
120	human health	-0.2219	-0.5815	2	53	103	12	2021
121	human serum sample	0.5072	-0.4311	1	65	161	14	2019.7143
122	hydrogel	-0.4694	0.4281	3	122	1167	154	2019.5779
123	hydrogen peroxide	0.8094	-0.1518	1	104	438	40	2015
124	implant	-0.2934	0.699	3	54	348	38	2014.7895
125	infectious disease	-0.6575	-0.6964	2	47	127	15	2023.3333
126	inflammation	-0.167	0.728	4	61	186	20	2015.6
127	interference	0.5614	-0.2167	1	127	381	39	2019.2821
128	ion	0.6069	-0.0809	1	82	248	38	2017.9474
129	label free biosensor	0.134	0.9773	4	38	78	10	2018.9
130	label free detection	0.0885	-0.0215	4	40	84	11	2018.4545
131	lactate	0.6761	-0.0568	1	40	156	16	2018.5625
132	light	-0.301	0.1074	5	106	476	43	2018.907
133	linear range	0.759	-0.2923	1	137	567	58	2017.9828
134	live cell	-0.4975	0.5609	3	25	46	12	2015.3333
135	low detection limit	0.4799	-0.5051	1	114	324	33	2018.8182
136	mechanical property	-0.4098	0.7273	3	61	191	20	2016.35
137	medicine	-0.4184	0.0559	3	79	189	21	2019.0476
138	membrane	0.1089	0.4322	4	154	1029	128	2014.1172
139	metal ion	0.587	-0.0168	1	53	143	18	2018.2778
140	microgel	0.4238	0.3763	4	42	217	25	2020.16
141	monolayer	0.2668	0.4745	4	84	306	37	2014
142	monomer	0.1181	0.7399	4	83	217	21	2017.2381
143	morphology	0.0837	0.6133	3	102	290	36	2015.3056
144	mxene	-0.5523	-0.2036	3	39	219	20	2022.7
145	nanocomposite	0.5569	-0.1816	1	130	689	61	2019.0492
146	nanofiber	-0.4666	0.316	3	84	504	52	2020.4615
147	nanomaterial	-0.1701	-0.4261	2	149	1096	120	2020.8417
148	nanorod	1.1257	0.0342	1	41	193	27	2015.6667
149	nanotechnology	-0.802	-0.1061	3	67	191	23	2022.3043
150	nanowire	1.0755	0.1584	1	47	148	18	2014.3333
151	nanozyme	-0.7854	-0.27	3	28	84	12	2024.6667
152	nicotinamide adenine dinucleotide	-0.6474	-0.6507	5	50	215	14	2019.0714
153	noise ratio	1.1053	-0.2664	1	50	122	12	2019.1667
154	nonspecific adsorption	0.0245	0.6812	4	28	98	11	2013.4545
155	nucleic acid	0.4432	-0.62	2	78	253	28	2020.75
156	opportunity	-0.6272	0.2071	3	86	201	24	2019.875
157	optical property	-0.0843	0.2968	4	45	114	14	2018.9286
158	optimization	-0.3617	-0.0395	5	52	143	21	2021.9524
159	organism	-0.4378	0.3046	3	70	151	23	2018.9565
160	oxidation	0.5265	-0.1247	1	101	390	36	2019.5556
161	oxygen	0.4036	0.0693	1	63	142	18	2018.3333
162	pathogen	-0.0948	-0.6013	2	95	353	38	2022.0263
163	patient	-0.0079	-0.639	2	124	620	64	2019.9844
164	pdms	0.4737	0.7745	1	32	159	15	2016.4667
165	peptide	-0.1473	0.0387	2	113	709	87	2019.9655
166	peroxidase	0.601	-0.2041	1	65	245	23	2014.3478
167	plasma	0.1117	0.6533	4	91	324	33	2016.303
168	polymerization	0.1985	0.7308	4	80	247	25	2017.96
169	polypyrrole	0.4973	0.2614	1	57	141	15	2016.0667
170	polysaccharide	-0.798	0.9265	3	37	186	20	2022.8
171	possibility	-0.2945	-0.1227	2	94	243	25	2019.56
172	powerful tool	-0.7625	-0.3665	3	52	92	10	2021.2
173	principle	-0.6209	0.0162	3	98	233	24	2019.625
174	proliferation	-0.3784	0.7028	3	85	299	31	2016.7419
175	protein adsorption	0.1716	0.635	4	46	131	21	2011.2857
176	qcm	0.2321	0.924	4	52	153	21	2012.7143
177	quality	-0.4937	-0.0488	2	88	197	21	2021.7143
178	quantum dot	-0.1782	-0.5268	1	71	270	31	2021.8065
179	quartz crystal microbalance	0.1216	0.9335	4	65	211	23	2014.1304
180	rapid detection	-0.006	-0.5772	2	67	166	20	2020.85
181	reaction	0.021	-0.1319	5	173	1169	124	2018.4597
182	recent development	-0.2518	-0.1429	2	56	120	16	2017.6875
183	recovery	0.4123	-0.4705	1	83	249	26	2020.3462
184	reduction	0.5757	0.1503	1	100	342	35	2018
185	regenerative medicine	-1.0867	0.2136	3	53	124	13	2020.8462
186	release	-0.8511	0.2823	3	99	545	45	2016.3778
187	reliability	0.1242	-0.805	2	69	142	18	2020.5556
188	response time	0.8736	-0.1303	1	107	359	38	2015.2632
189	sars cov	-0.2795	-0.96	2	81	768	101	2022.6436
190	scaffold	-0.9765	0.3101	3	107	597	54	2019.6852
191	selective detection	0.2077	-0.2716	2	84	163	16	2019.1875
192	sem	0.6153	0.0462	1	106	299	24	2016.625
193	signal amplification	0.2717	-0.8284	2	54	133	16	2020.6875
194	significance	-0.5886	-0.4243	2	88	269	23	2021.0435
195	silicon	-0.0884	0.8641	4	32	73	16	2017.3125
196	silk fibroin	-0.554	0.7799	3	30	122	12	2016.9167
197	single walled carbon nanotube	0.7853	0.259	1	52	131	15	2017.7333
198	skin	-0.4878	0.1403	5	60	186	26	2021.6154
199	specific detection	0.0594	-0.8908	2	50	129	15	2020.1333
200	spectroscopy	0.3561	0.2597	1	161	695	72	2017.1528
201	spike antigen	-0.3849	-1.2408	2	18	127	11	2022.2727
202	spr	0.0084	0.3149	4	71	212	31	2016.0323
203	ssdna	0.0297	-1.0979	2	32	117	11	2020.8182
204	stress	-0.0759	0.5292	3	68	192	34	2018.5882
205	swnt	0.4396	0.6942	1	19	69	12	2011.5
206	synthesis	-0.2039	0.0769	3	132	566	54	2020.3148
207	synthetic cell	-1.3096	0.4341	3	7	128	15	2024.4667
208	target	0.1533	-0.4905	2	120	654	73	2019.6027
209	tem	0.8017	0.0121	1	75	190	16	2016
210	temperature	0.1977	0.5231	4	115	456	53	2017.3019
211	therapy	-0.7799	-0.1617	3	111	451	44	2021.1591
212	thickness	0.2132	1.0116	4	60	220	28	2013.8214
213	thin film	0.3758	0.8783	4	75	256	27	2016.1852
214	thrombin	0.2915	-0.4955	2	23	131	18	2017.0556
215	tissue	-0.6133	0.3324	3	108	451	65	2016.9846
216	tissue engineering	-0.857	0.5129	3	99	551	46	2017.2174
217	tissue regeneration	-1.0404	0.3884	3	60	140	13	2021.9231
218	transmission electron microscopy	0.7459	0.0378	1	73	175	15	2016.5333
219	tumor	0.272	-0.8771	2	67	175	17	2018.8824
220	ultrasensitive detection	0.2027	-0.8758	2	61	112	14	2021.7857
221	uric acid	0.9259	-0.1187	1	58	152	16	2019.8125
222	urine	0.5692	-0.7662	2	71	291	31	2019.4516
223	versatility	-0.8283	-0.1863	3	79	155	15	2020.8667
224	viability	-0.3363	0.593	3	48	110	15	2017
225	voc	-0.8183	-0.3901	5	36	199	16	2020.9375
226	wide linear range	0.8812	-0.4579	1	72	178	17	2018.1176
227	x ray diffraction	0.8896	0.112	1	63	154	13	2016.7692
228	x ray photoelectron spectroscopy	0.0693	0.6881	4	71	148	16	2016.375
229	xps	0.3723	0.6938	4	58	127	11	2016.0909
230	xrd	0.8407	-0.1331	1	69	171	13	2017.3846
