id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
64	nanodevice	-0.5103	-0.0056	1	37	627	32	2008.7812	13.5938	0.4703
65	nanodevices	-0.5308	-0.0067	1	22	303	9	2006.3333	7	0.1347
66	nanoelectronic device	-0.3388	-0.05	3	24	78	7	2013	10	0.7336
67	nanolithography	-0.5536	-0.0099	1	22	191	5	2006.6	4.6	0.0927
68	nanorobot	-0.2836	0.0752	2	20	140	18	2008.7778	58.7778	1.9704
69	nanoscale device	-0.7514	-0.0353	4	32	107	7	2011.4286	6.7143	0.2373
70	nanoscale electrochemistry	3.0175	0.0006	5	12	581	52	2020.8654	1.0192	0.0625
71	nanoscale field effect transistor	-0.8374	-0.0406	4	15	59	4	2016	11	0.3889
72	nanotube	-0.3938	0.0517	2	32	117	20	2011.4	66.05	1.5905
73	natural receptor	-0.5513	0.054	1	9	140	10	2018	196	6.2222
74	neural interface	-0.3257	-0.0113	3	7	20	4	2009.5	18	1.4219
75	new electrochemical sensor	3.0353	-0.0188	5	12	591	53	2020.5849	2.9434	0.0977
76	physical design	-0.8362	-0.0424	4	15	59	4	2016	11	0.3889
77	possibility	-0.3722	-0.0698	6	46	219	15	2014.5333	22.4667	0.6176
78	potentiometry	3.0345	-0.0087	5	12	591	53	2020.5849	2.9434	0.0977
79	practical application	2.735	0.0024	5	20	600	54	2020.3519	5.2037	0.1417
80	proteins	-0.3362	-0.011	3	6	28	4	1995	34	2.1771
81	quantum dot	-0.3873	0.0969	3	21	87	7	2011	6.4286	0.6278
82	receptor	-0.5378	0.0497	1	31	207	18	2011	66.2222	2.2173
83	redox protein	-0.332	-0.0124	3	8	19	4	2002.75	23	1.2009
84	self assembly	-0.4855	0.0041	1	30	190	10	2007.8	15.5	1.3028
85	sensing	-0.3641	0.0435	2	20	143	19	2021	15.2632	4.7296
86	sensitive molecular detection	-0.8369	-0.0394	4	15	59	4	2016	11	0.3889
87	signal	-0.4418	0.0807	3	45	257	15	2019.8	8.6667	1.0173
88	stabilization	-0.5098	-0.0581	1	4	56	4	2020	3	0.8644
89	treatment	-0.3388	0.0675	2	17	64	7	2018.8571	7.2857	1.2854
90	uniform motion	-0.3125	-0.1415	6	10	72	4	2019	0.5	0.1324
91	wearable sensor	3.0174	-0.0081	5	12	581	52	2020.8654	1.0192	0.0625
